section_id, instructor_id, day, time, room
122,تصميم وهيكلة البرمجيات,حسن,MW,1300,1420
147,جودة ومقاييس البرمجيات,حسن,U,1500,1630
154,مشروع تخرج I ,حسن,MW,1900,1950
39,مبادئ هندسة البرمجيات,زيد,R,1300,1430
142,بناء البرمجيات,وليد,M,800,930
146,جودة ومقاييس البرمجيات,محمود,UTR,1300,1350
330,مبادئ هندسة البرمجيات,حسنين,U,1600,1730
114,تفاعل الانسان مع الحاسب,علي,M,1300,1430
133,بناء البرمجيات,حسن,M,1100,1230
143,اختبار وتدقيق البرمجيات,فيصل,MW,1100,1220
188,اساسيات إنترنت الأشياء,محمود,UTR,1400,1450
181,تفاعل الانسان و الحاسب,باسل,MW,1100,1220
135,اختبار وتدقيق البرمجيات,حسنين,W,1100,1230
103,تفاعل الانسان مع الحاسب,عبيد,M,1300,1430
156,مشروع تخرج I ,فيصل,MW,2100,2150
123,تصميم وهيكلة البرمجيات,محمود,M,1100,1230
282,مبادئ هندسة البرمجيات,فراس,T,1500,1630
131,تطوير الويب,عبيد,T,1100,1230
161,مشروع تخرج 2,عبدالله,UTR,2100,2150
140,تطوير الويب,حسنين,T,800,930
182,تفاعل الانسان و الحاسب,حسن,M,800,930
126,برمجة الاجهزة المحمولة,فارس,MW,1600,1720
101,هندسة متطلبات البرمجيات,فيصل,R,1300,1430
112,هندسة متطلبات البرمجيات,احمد,U,1300,1430
158,مشروع تخرج 2,علي,UTR,1900,1950
189,اساسيات إنترنت الأشياء,حسن,T,1500,1630
340,مبادئ هندسة البرمجيات,محمد,UTR,1300,1350
130,تطوير الويب,احمد,UTR,900,950
149,نماذج تصميم البرمجيات,مؤيد,T,1500,1630
102,تفاعل الانسان مع الحاسب,حسنين,MW,930,1050
127,برمجة الاجهزة المحمولة,فيصل,R,1100,1230
329,مبادئ هندسة البرمجيات,عبدالله,UTR,1500,1550
132,بناء البرمجيات,حسن,MW,800,920
318,مبادئ هندسة البرمجيات,برقان,UTR,1400,1450
163,اساسيات إنترنت الأشياء,عبدالله,T,800,930
159,مشروع تخرج 2,احمد,UTR,2000,2050
16,مبادئ هندسة البرمجيات,عبيد,UTR,1100,1150
104,ادارة مشاريع البرمجيات,محمود,MW,1100,1220
153,مشروع تخرج I ,عمر,MW,1800,1850
27,مبادئ هندسة البرمجيات,حسنين,UTR,1000,1050
111,هندسة متطلبات البرمجيات,مشاري,MW,930,1050
319,مبادئ هندسة البرمجيات,فارس,U,1600,1730
160,مشروع تخرج 2,محمد,MW,1900,2020
17,مبادئ هندسة البرمجيات,عمر,R,1300,1430
157,مشروع تخرج 2,معاذ,UTR,1800,1850
38,مبادئ هندسة البرمجيات,فارس,UTR,1100,1150
100,هندسة متطلبات البرمجيات,حسنين,MW,800,920
144,اختبار وتدقيق البرمجيات,عمر,W,800,930
148,نماذج تصميم البرمجيات,مشاري,UTR,1400,1450
150,تجربة المستخدم,علي,MW,1430,1550
124,نماذج عمليات البرمجيات,برقان,MW,1430,1550
141,بناء البرمجيات,فراس,MW,1300,1420
341,مبادئ هندسة البرمجيات,محمود,U,1600,1730
113,تفاعل الانسان مع الحاسب,باسل,MW,1100,1220
281,مبادئ هندسة البرمجيات,حسن,UTR,1300,1350
151,تجربة المستخدم,محمد,M,1600,1730
125,نماذج عمليات البرمجيات,حسن,W,1100,1230
134,اختبار وتدقيق البرمجيات,مشاري,MW,930,1050
155,مشروع تخرج I ,محمود,MW,2000,2050
115,ادارة مشاريع البرمجيات,باسل,MW,800,920
139,تطوير الويب,فارس,UTR,1100,1150
105,ادارة مشاريع البرمجيات,عبيد,M,1300,1430
6,مبادئ هندسة البرمجيات,عمر,R,1100,1230
28,مبادئ هندسة البرمجيات,حسن,R,1100,1230
116,ادارة مشاريع البرمجيات,ياسر,M,1300,1430
162,اساسيات إنترنت الأشياء,عمر,UTR,1000,1050
5,مبادئ هندسة البرمجيات,محمد,UTR,1000,1050
